example_id, text, aspect_term, term_location, class
444_1,Keyboard is great but primary and secondary control buttons could be more durable.,control buttons,44--59,-1
842_1,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",47--61,-1
2463_0,It works exactly like it did the day I took it out of the box.,works,3--8,1
337_1,However[comma] the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).,tracking area,44--57,1
1472_0,Not to mention sometimes the whole charger unit will decide not to work entirely.,charger unit,35--47,-1
3024_0,My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,battery life,49--61,-1
918_0,_THE MOTHERBOARD IS DEAD !,MOTHERBOARD,5--16,-1
1316_1,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team[comma] which is the retail shop which I bought my netbook from.",sales team,109--121,-1
2248_1,In addition[comma] all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.,Keynotes,47--55,1
2902_0,I have found also[comma] it is very easy to be able to access wireless internet access;,wireless internet access,56--80,1
1623_3,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,138--145,-1
97_0,First of all[comma] they had no record of me having the 3 year warranty I'd paid almost $400 for[comma] and I had to call in[comma] spend hours on their online chat service[comma] and fax in multiple documents.,3 year warranty,50--65,-1
2235_1,also it comes with very useful applications like iphoto that it is the best photo application i have ever had,iphoto,49--55,1
2960_1,The ATI graphics card is a huge plus[comma] definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with[comma] such as Half-Life 2 or even World of Warcraft.,Intel built-in card,125--144,1
3085_1,I looked around and based off my price/features comparison from a brand I trusted I landed here.,features,39--47,0
1909_0,_ They replaced my hard drive as well as my mother board.,hard drive,19--29,0
2984_0,My husband uses it mostly for games[comma] email and music.,games,30--35,0
3004_1,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,security-prone OS,38--55,0
1701_0,Comes with iMovie;,iMovie,11--17,1
2111_0,I took it in to the Apple store and guess what? They fixed it[comma] no cost out of pocket.,cost,66--70,-1
948_0,_ The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,6--30,-1
1743_0,But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard[comma] mouse[comma] and monitor to take it with me when I take photos and video.,size,160--164,1
1529_0,A mac is very easy to use and it simply makes sense.,use,22--25,1
1566_0,Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,54--77,-1
544_0,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signals,39--46,1
386_1,The screen is very large and crystal clear with amazing colors and resolution.,colors,56--62,1
2386_0,I don't understand why only Windows 7 Starter is included.,Windows 7 Starter,28--45,-1
1580_0,A great computer for light home use and business use.,home use,27--35,1
2935_0,The battery life is probably an hour at best.,battery life,4--16,-1
2973_2,It has plenty of memory[comma] lots of hard drive[comma] and great graphics.,graphics,55--63,1
2548_1,The track pad to me is what really stands out though[comma] you can do several different things with it just depending on how many fingers you use on the track pad[comma] awesome thinking Apple!,track pad,148--157,1
1959_0,The feel of this is better than the Toshiba[comma] too.,feel,4--8,1
2299_0,You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,surfing the web,87--102,1
2398_2,I bought it for my mom and she reports that the battery life lasts all day for her[comma] it's very lightweight[comma] and the response for the computing she's doing (Internet focused activity: mail[comma] research[comma] etc.) is excellent;,Internet focused activity,155--180,0
18_3,While most people say that PCs hold functionality and value and Macs are just pretty to look at[comma] I think there's something to be said about the simplicity of Macs.,look,88--92,1
92_0,The machine is slow to boot up and occasionally crashes completely.,boot up,23--30,-1
300_1,I run Dreamweaver[comma] Final Cut Pro 7[comma] Photoshop[comma] Safari[comma] Firefox[comma] MSN Messenger and a few other applications constantly at the same time.,Dreamweaver,6--17,0
1767_0,Its white color is stylish for college students and easy to take to carry and take to classes.,color,10--15,1
1411_0,There is hardly any memory on the computer's hard drive.,memory,20--26,-1
2001_2,Yes[comma] they cost more[comma] but they more than make up for it in speed[comma] construction quality[comma] and longevity.,longevity,91--100,1
81_0,Lightweight and the screen is beautiful!,screen,20--26,1
246_0,Very fast boot up and shut down.,boot up,10--17,1
1797_0,It's now all commodity hardware.,commodity hardware,13--31,0
1731_1,Everything is so easy to use[comma] Mac software is just so much simpler than Microsoft software.,Microsoft software,72--90,-1
2132_0,The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,65--73,-1
1299_0,Of course[comma] I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others.,hinges,60--66,-1
2870_0,For the price and what I get out of it has exceeded my expectations.,price,8--13,1
547_1,It has a faster processor and more ram.,ram,35--38,1
2001_0,Yes[comma] they cost more[comma] but they more than make up for it in speed[comma] construction quality[comma] and longevity.,speed,58--63,1
746_1,"No[comma] tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",bios,78--82,-1
967_0,of course my warranty runs out next month.,warranty,13--21,0
2227_0,"I also got the added bonus of a 30"" HD Monitor[comma] which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",32--46,1
1112_0,Info: Windows failed to load because the kernal is missing[comma] or corrupt.,Windows,6--13,-1
1843_1,_ I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,online chat,118--129,0
1001_0,But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.,BIOS,54--58,-1
931_0,_ But I needed a laptop for school use.,school use,28--38,0
1237_0,The So called laptop Runs to Slow and I hate it!,Runs,21--25,-1
1138_1,Ever since I bought this laptop[comma] so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.,toshiba customer services,160--185,-1
2489_1,I think the manual is somewhere on the hard drive[comma] but I rather have a hard copy.,hard drive,39--49,0
937_1,_ I was also able to install and use my Photoshop and AfterEffects programs easily.,AfterEffects programs,54--75,1
2954_1,It is loaded with programs that is of no good for the average user[comma] that makes it run way to slow.,run,82--85,-1
1794_0,I love the solid machined aluminum frame[comma] and the keyboard is the best of any laptop I've used.,machined aluminum frame,17--40,1
2791_2,Most everything is fine with this machine: speed[comma] capacity[comma] build.,build,60--65,1
1047_1,-4 RAM slots[comma] 2 HDD Bays*[comma] 16GB RAM support -No Wireless Issues[comma] at least for me.,HDD Bays,16--24,0
2501_0,The capabilities using that program alone made me want a Mac.,program,28--35,1
711_0,Yes[comma] I thought the expese was a little much[comma] but I now realize you get what you pay for.,expese,19--25,-1
719_1,It is easy to use[comma] its keyboard easily accommodates large hands[comma] and its weight is fantasic.,weight,73--79,1
904_0,THEN[comma] one month after the warranty expired[comma] the replacement charger went.,warranty,26--34,0
347_0,pretty much everything else about the computer is good it just stops working out of no were.,working,69--76,-1
2077_0,The screen shows great colors.,screen,4--10,1
1347_0,they had to replace the motherboard in April,motherboard,24--35,-1
2704_0,Its a good laptop for its value.,value,26--31,1
459_0,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,hard drive,20--30,0
1869_0,_ I considered I may have too much on the computer[comma] but after looking[comma] there was plenty of space and that is not the issue.,space,91--96,1
2225_0,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,66--75,1
2508_0,PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.,Keynote,86--93,0
793_0,when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,return policy,80--93,-1
1895_1,Overall I feel this netbook was poor quality[comma] had poor performance[comma] although it did have great battery life when it did work.,performance,55--66,-1
503_0,I have never really been big on downloading anything so I wasn't too worried about getting a virus[comma] plus I thought I was protected by Norton.,Norton,134--140,-1
1329_0,The people there just changed for me on the spot and I got a new arm piece and they didn't even request for a receipt.,arm piece,65--74,1
2143_0,Quality Display  I was surprised with the performance and quality of this HP Laptop.,Quality Display,0--15,1
2250_0,iPhotos is an excellent program for storing and organizing photos.,iPhotos,0--7,1
1364_0,Product support very poor as each phone call costs me long distan,Product support,0--15,-1
572_0,10 hours of battery life is really something else....,battery life,12--24,1
2171_1,I can have both OSX and Windows XP running at the same time!,Windows XP,24--34,1
264_0,Vista is a nightmare.,Vista,0--5,-1
1101_1,Strengths:Well-shaped Weaknesses:A bad videocard!,shaped,15--21,1
1438_0,Externally the keys on my keyboard are falling off[comma] after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit[comma] and the screen has a terrible glare.,keys,15--19,-1
1252_0,Somehow the system clock got messed up after reboot.,system clock,12--24,-1
609_0,keys are all in weird places and is way too large for the way it is designed.,keys,0--4,-1
310_0,I also like that you can scroll down in a window using two fingers on the trackpad.,trackpad,74--82,1
701_0,The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,battery life,4--16,-1
2706_1,Features like the font are very block-like and old school.,Features,0--8,-1
1543_1,I wiped nearly everything off of it[comma] installed OpenOffice and Firefox[comma] and I am operating an incredibly efficient and useful machine for a great price.,Firefox,62--69,0
2812_1,Screen is crystal clear and the system is very responsive.,system,32--38,1
2812_0,Screen is crystal clear and the system is very responsive.,Screen,0--6,1
2975_0,The only bad thing about it is they give you the worst batteries possible.,batteries,55--64,-1
2071_0,So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all[comma] I just chose to hide the message.,customer support,12--28,1
2279_1,The sheer power and flexibility makes the MacBook Pro a must have for any techie!,flexibility,20--31,1
2932_0,To be honest i think it was faulty equipment or something but idk.,equipment,35--44,-1
146_0,I hate the display screen and I have done everything I could do the change it.,display screen,11--25,-1
2612_0,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,64--72,1
1459_0,_ i have tried to charge on different batteries with no luck.,batteries,38--47,-1
1937_2,I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid[comma] (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.,cam,269--272,-1
2711_1,Seems to slow down occassionally but can run many applications (ie Internet tabs[comma] programs[comma] etc) simultaneously.,programs,82--90,0
1997_0,it might be something deep within Windows[comma] for I was unable to create a disk image on my hard drive.,Windows,34--41,-1
2859_1,Some features arent friendly ( volume wheel[comma] sound quality[comma] etc.,sound quality,45--58,-1
830_0,_ There's literally no way to make it sing with Vista.,Vista,48--53,-1
988_1,Windows Vista makes this computer almost unusable for online service.,online service,54--68,-1
1283_0,However[comma] my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).,hinge,51--56,-1
1892_0,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,warranty,82--90,-1
3057_0,cosmetically[comma] the only thing they changed was 2 of the Function keys at the top.,Function keys,55--68,0
1963_0,The battery life was shorter than expected.,battery life,4--16,-1
406_1,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,cost,60--64,-1
2916_1,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,94--103,-1
2146_0,But with A WAY Bigger Screen[comma] and IS able to connect to an HDMI.,Screen,22--28,1
552_1,Overall : Poor[comma] Features: Average[comma] Performance: Poor[comma] Battery Life: Excellent[comma] Price-Value: Poor,Performance,35--46,-1
2778_1,The screen is a little glary[comma] and I hated the clicking buttons[comma] but I got used to them.,clicking buttons,46--62,-1
917_1,_One night I turned the freaking thing off after using it[comma] the next day I turn it on[comma] no GUI[comma] screen all dark[comma] power light steady[comma] hard drive light steady and not flashing as it usually does.,screen,94--100,-1
936_0,_ It is easy to use[comma] fast and has great graphics for the money.,graphics,40--48,1
2359_0,The screen is bright and vivid and the keyboard is very easy to use[comma] very important for use quick typers.,screen,4--10,1
2796_0,This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,48--53,-1
610_1,lots of extra space but the keyboard is ridiculously small.,keyboard,28--36,-1
1400_1,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,102--108,-1
1088_0,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,BATTERY,30--37,-1
881_1,After 2 months of complaints[comma] Asus finally sent the right power supply to my techies.,techies,77--84,0
2453_0,Clear picture on it and everything.,picture,6--13,1
1075_0,It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,system memory,53--66,-1
2766_0,I did think it had a camera because that was one of my requirements[comma] but forgot to check in the specifications on this one before I purchased.,camera,21--27,0
2398_0,I bought it for my mom and she reports that the battery life lasts all day for her[comma] it's very lightweight[comma] and the response for the computing she's doing (Internet focused activity: mail[comma] research[comma] etc.) is excellent;,battery life,48--60,1
2692_1,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","15""",26--29,0
1878_0,1.You can not change your desktop background (window's 7 starter does NOT support that function).,desktop background,26--44,-1
388_0,The processor is very quick and effective as I load webpages and applications.,processor,4--13,1
161_0,For the same price[comma] you get a lot more in the Asus....1920x1080 res.,price,13--18,-1
1427_1,BEST BUY - 5 STARS + + + (sales[comma] service[comma] respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple,service,33--40,1
411_0,Asus facial recognition doesn't work and windows logon isn't either.,facial recognition,5--23,-1
3019_0,The Unibody construction is solid[comma] sleek and beautiful.,Unibody construction,4--24,1
2097_0,For me I was lucky and a local store was selling them for $2000 off and Best Buy matched their price so I was able to buy one for under $1000,price,95--100,1
2322_0,The screen is gorgeous - yummy good.,screen,4--10,1
2745_0,"A cheaper price should not equal a ""cheap"" product.",price,10--15,1
2231_0,you can find many laptops with the same performance and even better with lower price[comma] but you cannot find the look[comma] easy[comma] applications[comma] and the experience in mac.,performance,40--51,0
2213_1,I use iphoto all the time[comma] which is a great program for anyone who is into photography - amateurs and experts alike.,program,44--51,1
2561_1,I wish iWork or MS Office came with the Mac[comma] but MS Office doesn't even come with most pc laptops.,MS Office,16--25,-1
327_0,Also it is very good for college students who just need a reliable[comma] easy to use computer.,use,76--79,1
2313_0,Startup in about 30 seconds[comma] shutdown in 2-4 seconds[comma] resume from sleep in 0-2 seconds.,Startup,0--7,0
1936_0,"In early May I got it back and this time I only had it back for 1 day before it had a NEW issue so it was sent back in for the 6th time they ""expedited"" the repairs so I was only supposed to have to be without it for 3 days and it was supposed to be fixed[comma] by a ""Senior Tech"".",Senior Tech,263--274,-1
1597_0,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",aluminum style,60--74,1
1254_0,After numerous attempts of trying (including setting the clock in BIOS setup directly)[comma] I gave up(I am a techie).,clock in BIOS setup,57--76,-1
2272_1,We also use Paralles so we can run virtual machines of Windows XP Professional[comma] Windows 7 Home Premium[comma] Windows Server Enterprise 2003[comma] and Windows Server 2008 Enterprise.,Windows XP Professional,55--78,0
687_0,Good keyboard[comma] long battery life[comma] largest hard drive and windows 7.,keyboard,5--13,1
1600_1,Also[comma] one of the users mentioned how the edges on the macbook is sharp[comma] if you have money to spend on one of the incase shells[comma] it doesn't seem to be a problem.,incase shells,113--126,1
2101_0,Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.,Vista Business,28--42,1
2524_0,It was secure and easy to navigate.,navigate,26--34,1
1565_0,The resolution is even higher then any other laptop on the market.,resolution,4--14,1
331_5,It has a 10 hour battery life when you're doing web browsing and word editing[comma] making it perfect for the classroom or office[comma] and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.,word editing,65--77,0
2637_0,Delivery was early too.,Delivery,0--8,1
1511_0,There are so many wonderful features and benefits to the new MacBook!,features,28--36,1
267_1,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,book,36--40,-1
706_0,I use the computer to basically check emails[comma] surf the web[comma] print coupons and for my college papers.,surf the web,46--58,0
1962_0,It was heavy[comma]bulky[comma] and hard to carry because of the size.,size,53--57,-1
2170_0,Even so[comma] I like playing online games[comma] so it was wonderful that there is a feature where I can dualboot Windows.,feature,74--81,1
1601_0,"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off.",edges,62--67,-1
2393_0,I love the size[comma] keyboard[comma] the functions.,size,11--15,1
2086_1,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,resolution,78--88,-1
1175_0,The laptop is relatively simple to use[comma] though I bought  Macs for Dummies[comma]  which is well worth $2,use,35--38,1
23_1,The laptop is very lightweight[comma] can easily carry around in a knapsack full of text books and it barely adds any weight.,weight,112--118,1
101_0,I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.,warranty,76--84,1
1327_0,But the arm velcro is torn after one use.,arm velcro,8--18,-1
2246_2,It has many great programs[comma] such as ILife[comma] iPhotos and others.,iPhotos,43--50,1
295_0,The speed is incredible and I am more than satisfied.,speed,4--9,1
2722_1,I'm really impressed with the quality and performance for the price of the computer.,performance,42--53,1
474_0,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,0--26,-1
440_1,I love its solid build[comma] light wt and excellent battery life (for now).,wt,30--32,1
2320_0,I bought a Logitech desktop set in anticipation for using with the MBP[comma] but I use the touchpad 90% of the time.,touchpad,86--94,1
2859_0,Some features arent friendly ( volume wheel[comma] sound quality[comma] etc.,volume wheel,31--43,-1
1542_0,The Windows 7 Starter is[comma] in my opinion[comma] a great way to think about using your netbook: basics[comma] basics[comma] basics.,Windows 7 Starter,4--21,1
2497_0,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,application,17--28,0
1804_0,While Apple's saving grace is the fact that they at least stand behind their products[comma] and their support is great[comma] it would be nice if their products were more reliable to justify the premium.,support,97--104,1
76_3,I even got my teenage son one[comma] because of the features that it offers[comma] like[comma] iChat[comma] Photobooth[comma] garage band and more!,garage band,96--107,1
1140_0,_ Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another[comma] and I am not kidding you[comma] I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again[comma] since they make it sound like they don't have your history list of your calls right in front of them.,Toshiba customer services,2--27,-1
2400_0,The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,build quality,12--25,1
1447_0,I loved the netbook (minus the fact that it was windows OS) until this started happening.,windows OS,48--58,-1
2738_1,Comfterbale to use light easy to transport.,transport,33--42,1
2736_1,Needs Power and Mouse Cable to Plug in back instead of side[comma] In the way of operating a mouse in small area.,mouse,87--92,-1
2124_0,Mostly I love the drag and drop feature.,drag and drop feature,18--39,1
2845_0,I bought this laptop because of the performance to price ratio.,performance,36--47,1
772_0,Was searching online for a power supply when I found this site.,power supply,27--39,0
2187_0,Compared to similarly spec'd PCs[comma] this machine is good value[comma] well built and works easily right out of the box.,value,55--60,1
2470_0,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,12--15,1
2515_0,Very good quality and well made.,quality,10--17,1
2221_1,Of course[comma] I also have several great software packages that came for free including iWork[comma] GarageBand[comma] and iMovie.,iWork,84--89,1
455_0,iTunes is a handy music-management program[comma] and it is essential for anyone with an iPod.,iTunes,0--6,1
3056_2,The speed difference is next to NOTHING for a mac[comma] and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.,500gb external hard drive,123--148,0
2962_1,This is likely due to poor grounding and isolation between the components[comma] and I'm hoping that it can be fixed with a ground loop isolator[comma] but I still expected better product quality for this price range.,ground loop isolator,118--138,0
2273_2,WIth the upgraded memory[comma] the MacBook Pro never has an issue running many many applications at once!,running,61--68,1
1309_1,Because he said that the hinge is under the motherboard and they have to dismantle the whole thing before it can be tightened.,motherboard,44--55,0
2223_0,The only drawback for me is how dirty the screen gets[comma] and rather quickly too.,screen,42--48,-1
1811_2,The Mac Snow Leopard O/S is extremely easy to use[comma] although very different than Win XP[comma] Visa or Win7.,Visa,88--92,0
1375_0,That system is fixed.,system,5--11,0
496_0,Setting would change for some reason[comma] the screen size would change on it's own[comma] like the pixel sizes and whatnot.,Setting,0--7,-1
1436_3,I have Vista[comma] so I am unable to install and uninstall some programs.,uninstall,44--54,-1
275_1,It is short on space[comma] and downloads always had problems being completed[comma] or were said to be 'corrupted'.,downloads,26--35,-1
2020_0,I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk,31--44,-1
300_0,I run Dreamweaver[comma] Final Cut Pro 7[comma] Photoshop[comma] Safari[comma] Firefox[comma] MSN Messenger and a few other applications constantly at the same time.,applications,94--106,0
722_1,Other installed features[comma] such as certain printer software[comma] are also most attractive.,printer software,42--58,1
300_3,I run Dreamweaver[comma] Final Cut Pro 7[comma] Photoshop[comma] Safari[comma] Firefox[comma] MSN Messenger and a few other applications constantly at the same time.,Photoshop,36--45,0
1717_0,( The iBook backup also uses a firewire connection).,iBook backup,6--18,0
1646_1,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,170--177,1
2692_2,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","17""",66--69,0
2605_0,The brand of iTunes has just become ingrained in our lexicon now[comma] but keep in mind that Apple started it all.,iTunes,13--19,1
2470_3,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,99--109,1
2713_1,The screen graphics and clarity[comma] and sharpness are great.,clarity,24--31,1
2276_0,I connect a LaCie 2Big external drive via the firewire 800 interface[comma] which is useful for Time Machine.,LaCie 2Big external drive,12--37,0
822_0,_ Also[comma] I have had alot of trouble with the shift key to go to other lines.,shift key,44--53,-1
2149_0,We researched and found the best price at MacConnection.,price,33--38,1
1226_1,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,repair depot,99--111,0
687_1,Good keyboard[comma] long battery life[comma] largest hard drive and windows 7.,battery life,20--32,1
8_0,Overall[comma] this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.,design,72--78,1
19_0,Everything from the design to the OS is simple and to the point.,design,20--26,1
1309_0,Because he said that the hinge is under the motherboard and they have to dismantle the whole thing before it can be tightened.,hinge,25--30,-1
1189_0,Now for the hardware problems.,hardware,12--20,-1
2603_1,I am most impressed with the programming[comma] including the iPhoto.,iPhoto,56--62,1
452_2,(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet[comma] artwork)[comma] and yet it is small enough to be reasonably portable.,Windows,14--21,0
2927_0,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,45--59,-1
648_0,Moral of the story:-Do not buy anything from companies that do not respect their customers.,companies,45--54,-1
1414_1,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,32--40,-1
744_0,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,35--46,-1
833_0,_ Worse[comma] for the price I could get a *netbook* that outperforms this machine.,price,17--22,-1
1924_2,In_November my computer messed up entirely and wouldn't power on after intalling a Windows update[comma] I had to have my HD flashed and lost EVERYTHING on it[comma] including my school assignments and irriplaceable pictures that were only in digital format and several other things[comma] when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.,Windows update,83--97,0
1226_0,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,repair depot,15--27,0
1746_1,Screen[comma] keyboard[comma] and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen[comma] responsive island backlit keyboard[comma] and fun multi-touch mouse is worth the extra money to me alone.,keyboard,8--16,0
2994_0,The only downfall is the volume control.,volume control,25--39,-1
1078_0,The screen is nice[comma] side view angles are pretty good.,screen,4--10,1
1598_0,"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,144--158,1
2081_0,I love the multi-touch trackpad.,multi-touch trackpad,11--31,1
308_1,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,external mouse,65--79,0
1410_0,There is no cd drive on the computer[comma] which defeats the purpose of keeping files on a cd.,cd drive,12--20,-1
486_6,That included the extra Sony Sonic Stage software[comma] the speakers and the subwoofer I got (that WAS worth the money)[comma] the bluetooth mouse for my supposedly bluetooth enabled computer[comma] the extended life battery and the Docking port.,bluetooth enabled,154--171,-1
1983_1,At first[comma] the computer seemed a great deal--seemingly high-end specs for a low[comma] low price.,price,84--89,1
313_0,I also purchased iWork to go with it which has programs for word processing[comma] spreadsheets[comma] and presentations (similar to Microsoft Office).,iWork,17--22,0
2266_0,As a lifelong Windows user[comma] I was extremely pleased to make the change to Mac.,Windows,14--21,-1
2503_0,Everything about the Mac is not only visually appealing[comma] but very easy to use.,use,74--77,1
2584_0,The keyboard is like no other laptop keyboard.,keyboard,4--12,0
2827_0,This computer I used daily nice compact design.,design,40--46,1
2478_1,All the things you can do with the trackpad make navigating around the computer and its programs so much simpler[comma] quicker[comma] and easier.,programs,88--96,1
1419_0,_ I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,warrenty,168--176,-1
668_0,the features are great[comma] the only thing it needs is better speakers.,features,4--12,1
1850_0,After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.,warranty,86--94,0
1817_0,Great value[comma] fast delivery- Computer works as if brand new[comma] no problems[comma] very pleased,delivery,18--26,1
2498_0,But if you're willing to pay another 200 dollar for a windows disc.,windows disc,54--66,0
2106_0,It had most of the features and all of the power that I wanted to replace my desktop machine.,features,19--27,1
1558_0,"The Macbook starts fast[comma] doesn't crash[comma] has a fantastic display[comma] is small and light (I have the 13.3"" model)[comma] and isn't always complaining about updates[comma] lost connections[comma] errors[comma] blue screens[comma] etc.",display,56--63,1
2311_0,The battery holds up well[comma] it's built very solidly[comma] and runs fast.,battery,4--11,1
2859_2,Some features arent friendly ( volume wheel[comma] sound quality[comma] etc.,features,5--13,-1
1548_2,Apparently well-built and gorgeous to look at[comma] the i5 MacBook Pro is a winning combination of price and performance.,built,16--21,1
1216_2,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,warranty,161--169,-1
1496_1,All of the programs (Keynote[comma] Pages[comma] Numbers) have an option to save your documents as Microsoft compatible[comma] which really eliminates the need for the actual.,Keynote,21--28,0
1441_1,STOPPED BOOTING UP less than a week after my one-year warranty was up.,one-year warranty,45--62,0
1495_0,The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.,Mac version of Microsoft Office,4--35,1
2808_4,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,network connection,89--107,-1
2408_1,Mac also has many apps and programs that are quite cheap or free.,programs,27--35,1
2005_0,it is of high quality[comma] has a killer GUI[comma] is extremely stable[comma] is highly expandable[comma] is bundled with lots of very good applications[comma] is easy to use[comma] and is absolutely gorgeous.,quality,14--21,1
2021_0,This wiped out several programs that were installed on the computer when it was bought.,programs,23--31,-1
2226_1,Now I have the best of both worlds with all of the power and ease of the Mac!,ease,61--65,1
537_0,I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,71--89,0
1469_0,Next[comma] most Acer laptop fans are on the bottom which is right on your laptop.,fans,23--27,0
3080_0,I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,OS,83--85,0
150_0,It is very well built.,built,16--21,1
3083_0,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,102--112,0
334_1,It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,performance,82--93,-1
